Region,EPID,butterfly_richness,plant_richness,multidiv,red_list_butterflies,red_list_plants,threat_butterflies,threat_plants,reg_dist_butterflies,reg_dist_plants,trophic_interactions,unique_trophic_interactions,connectance,nestedness,pollination_potential,crop_pest_potential,biomass_lepi,abund_butterflies,RW,HW,SizeUnit,Forest,Arable,LUI,Fert,Grazing,Mowing,Timing,PC1,PC2
ALB,AEG39,2,18,0.491304347826087,0,1,0,0.33,51,73,6,0,0.16666666666666666,0.7291610573986842,0,0,0.39247124526983695,2,3531600,5361910,5.55,0.44397845999999996,0.11894578,1.69,50.7331,0,2,182,0.1784671569346566,-0.8732708969489624
ALB,AEG40,4,28,0.808695652173913,0,2,0,0.33,52,70,26,0,0.23214285714285715,1.1127063593706572,2.707969650641791,0.1934264036172708,1.1163582400482728,7,3542020,5363710,0.88,0.37827476,0.22936863,1.72,43.9546,0,2.3333333333333335,146,0.6972921571837022,0.04804215558133789
ALB,AEG41,6,27,0.8869565217391304,1,1,0.17,0.33,43,72,33,0,0.2037037037037037,1.0052032288893968,0,0,0.9888561039537068,7,3529600,5359200,5.39,0.6948145499999999,0.04084648,2.12,111.41666666666669,0,2.3333333333333335,183,-0.2129306509154438,-1.3898404903122137
ALB,AEG42,9,21,0.9065217391304348,1,1,0.17,0.33,46,72,40,0,0.21164021164021163,0.08352061054293117,0.07647121675597586,0,2.7002202938669457,18,3527920,5362310,2.54,0.5144961800000001,0.09431248,2.35,77,354.3307,1,122,-3.1090177895619724,-1.0928854277510442
ALB,AEG43,9,27,1.0369565217391306,2,2,0.17,0.33,47,74,55,0,0.2263374485596708,1.7912288939634944,2.199255871705867,0.15708970512184764,6.059868353181486,36,3540200,5364100,0.7,0.23488121,0.12952919,2.03,68.01666666666667,209.5238,1,197,0.096996759270404,-0.08225862871495764
ALB,AEG44,9,29,1.0804347826086955,2,2,0.17,0.33,40,72,43,0,0.16475095785440613,0.22281876500187467,0.6091271739486206,0,2.69837630752873,19,3532300,5360110,1.16,0.20503400000000002,0.37946173,1.95,0,465.5172666666666,0,NA,-3.370899960666621,-0.31498717211436084
ALB,AEG45,4,25,0.7434782608695651,1,2,0.17,0.33,42,70,20,0,0.2,0.3521532317788631,1.5267300438987208,0.21810429198553155,0.6338295808349936,5,3533985,5362715,1.55,0.49038365,0.06150197,1.34,4.9754,0,2,177,0.26709075667712323,-2.5290172961449144
ALB,AEG46,6,24,0.8217391304347825,0,1,0,0.33,54,72,30,0,0.20833333333333337,0.38214740610206555,1.5553944091269565,0.10369296060846377,3.534548991724848,17,3532280,5362220,5.44,0.48684576,0.06059447,1.6,0,310.2022,0,NA,0.8998811492703311,-0.9585809881902889
ALB,AEG47,17,41,1.741304347826087,10,3,0.52,0.17,30,60,158,0,0.2266857962697274,2.0325998873217563,0,0,8.522370054675998,77,3533100,5364700,7.68,0.1189985,0.40040732,0.94,0,107.09633333333332,0,NA,-3.3418479883977863,1.8381134487674635
ALB,AEG48,12,33,1.317391304347826,8,7,0.48,0.31,26,52,43,2,0.1085858585858586,0.5298087271980616,0.43143537216418026,0,10.980799120124178,205,3536985,5365015,7.68,0.08752992,0.23835715,0.69,0,57.291666666666664,0,NA,-2.7703025068815625,1.405131266832524
