region,epid,n_lepi,n_plant,sN_multidiv,n_red_list_lepi_pa,n_red_list_plant_pa,av_threat_lepi_pa,av_threat_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,cwm_av_crops,cwm_n_crop_pest,biomass_lepi,sum_abund_lepi
SCH,SEG10,4,9,1.0069444444444444,0,0,0,0,93,73,7,0,0.19444444444444445,1.1223148701978198,0.8752362884943047,0,2.0295952014460785,9
SCH,SEG11,4,10,1.0694444444444444,0,0,0,0,94,69,7,0,0.175,0.3479859709888183,0.8047132844999544,0,2.174132393797838,19
SCH,SEG12,4,5,0.7569444444444444,0,0,0,0,94,80,11,0,0.55,0.9682114704541792,3.9013960542590618,0.1934264036172708,1.5786495729885923,8
SCH,SEG13,2,8,0.7222222222222222,0,0,0,0,94,74,3,0,0.1875,NA,10.368288369533897,0.5578858913022596,1.0283584127561984,5
SCH,SEG14,3,6,0.7083333333333333,0,0,0,0,94,69,6,0,0.3333333333333333,-1.0135228310340774,6.333333333333334,0.33333333333333337,0.6048511046161491,4
SCH,SEG15,6,9,1.2291666666666663,0,0,0,0,89,73,7,1,0.12962962962962962,-0.11339173063729446,1.7521470149209692,0,2.582235475220062,14
SCH,SEG16,4,6,0.8194444444444444,0,0,0,0,92,77,6,0,0.25,0.5902231239020358,4.5347265273899735,0.21593935844714157,2.8241799146522335,13
SCH,SEG17,5,10,1.1805555555555556,0,0,0,0,92,69,11,0,0.22,-0.5561451466546272,4.164842794316794,0.18275885213453427,3.9527371969080023,36
SCH,SEG19,4,11,1.1319444444444444,0,0,0,0,90,73,10,0,0.2272727272727273,1.318276997093505,0.5366486732967418,0,1.442811137320145,11
SCH,SEG20,3,7,0.7708333333333333,0,0,0,0,92,71,3,0,0.14285714285714285,NA,3.115771782604519,0.2789429456511298,1.0478288042583663,5
SCH,SEG21,4,8,0.9444444444444444,0,0,0,0,85,67,13,0,0.40625,-1.528450032302484,0.5,0,0.4786629347009076,6
SCH,SEG22,5,7,0.9930555555555556,0,0,0,0,92,68,13,0,0.37142857142857144,1.4419478052316324,5.642475541079648,0.3826803184943108,2.4869459310503137,10
SCH,SEG23,2,3,0.4097222222222222,0,0,0,0,95,67,1,0,0.16666666666666666,NA,0.8113677421644259,0,0.5913025186577916,7
SCH,SEG24,6,9,1.2291666666666663,0,0,0,0,93,63,12,0,0.2222222222222222,0.8855751080946741,2.9228786562009317,0.13183980802870454,1.9370268129825376,15
SCH,SEG25,5,12,1.3055555555555556,0,0,0,0,92,74,18,0,0.3,2.5881366197335005,0.7209368558567965,0,4.702542884166274,28
SCH,SEG26,6,10,1.2916666666666663,0,0,0,0,88,72,13,1,0.21666666666666667,0.6804163759659914,1.5730286407756335,0,2.941021629485271,31
